Postal District,P4
10-Jan,326.16
10-Feb,268
10-Mar,312.9
10-Apr,324.5
10-May,246.16
10-Jun,246.53
10-Jul,330.16
10-Aug,327.55
10-Sep,226.73
10-Oct,43.55
10-Nov,0
10-Dec,0
11-Jan,0
11-Feb,0
11-Mar,220.37
11-Apr,236.03
11-May,0
11-Jun,0
11-Jul,547
11-Aug,784.13
11-Sep,228.57
11-Oct,255.11
11-Nov,266.04
11-Dec,0
12-Jan,0
12-Feb,0.03
12-Mar,0
12-Apr,0
12-May,355.53
12-Jun,173.49
12-Jul,450.63
12-Aug,325.17
12-Sep,316.74
12-Oct,153.24
12-Nov,311.97
12-Dec,538.11
13-Jan,255.95
13-Feb,277.75
13-Mar,236.39
13-Apr,257.22
13-May,264.22
13-Jun,291.45
13-Jul,323.07
13-Aug,306.64
13-Sep,228.12
13-Oct,144.23
13-Nov,210.33
13-Dec,242.19
14-Jan,237.09
14-Feb,224.52
14-Mar,229.84
14-Apr,243.27
14-May,274.18
14-Jun,310.8
14-Jul,278.65
14-Aug,276.85
14-Sep,246.12
14-Oct,219.19
14-Nov,185.91
14-Dec,209.44
15-Jan,241.72
15-Feb,251.94
15-Mar,215.85
15-Apr,228.75
15-May,214.03
15-Jun,237.5
