Postal District,P3
10-Jan,103.32
10-Feb,102.86
10-Mar,107.61
10-Apr,110.86
10-May,171.2
10-Jun,185.7
10-Jul,129.33
10-Aug,2.81
10-Sep,0
10-Oct,103.39
10-Nov,236.93
10-Dec,211.29
11-Jan,204.9
11-Feb,219.18
11-Mar,219.65
11-Apr,211.47
11-May,184.1
11-Jun,228.03
11-Jul,285.98
11-Aug,186.71
11-Sep,179.03
11-Oct,215.13
11-Nov,212.23
11-Dec,189.52
12-Jan,182.03
12-Feb,140.24
12-Mar,65.78
12-Apr,174.4
12-May,143.03
12-Jun,191.57
12-Jul,170.81
12-Aug,169.58
12-Sep,162.37
12-Oct,167.45
12-Nov,170.74
12-Dec,173.39
13-Jan,181.9
13-Feb,186.5
13-Mar,189.43
13-Apr,172.93
13-May,175.35
13-Jun,156.33
13-Jul,157.65
13-Aug,149.55
13-Sep,176.44
13-Oct,190.37
13-Nov,184.18
13-Dec,176.69
14-Jan,173.61
14-Feb,186.24
14-Mar,179.9
14-Apr,185.1
14-May,163.02
14-Jun,144.06
14-Jul,231.56
14-Aug,192.16
14-Sep,159.78
14-Oct,153.41
14-Nov,150.84
14-Dec,162
15-Jan,156.48
15-Feb,169.26
15-Mar,174.54
15-Apr,158.31
15-May,176.78
15-Jun,142.13
