Postal District,P5
10-Jan,218.38
10-Feb,187.07
10-Mar,201.23
10-Apr,219.55
10-May,214.7
10-Jun,193.13
10-Jul,229.12
10-Aug,151
10-Sep,220.37
10-Oct,236.03
10-Nov,223.53
10-Dec,238.29
11-Jan,212.74
11-Feb,92.04
11-Mar,91.48
11-Apr,92.5
11-May,129.81
11-Jun,124
11-Jul,135.48
11-Aug,84.23
11-Sep,184.7
11-Oct,255.58
11-Nov,177.13
11-Dec,186.77
12-Jan,247.23
12-Feb,202.38
12-Mar,244.22
12-Apr,270.53
12-May,275.51
12-Jun,311.42
12-Jul,258.74
12-Aug,157.45
12-Sep,230.37
12-Oct,262.77
12-Nov,280.97
12-Dec,245.55
13-Jan,225.45
13-Feb,213.29
13-Mar,179.56
13-Apr,173.78
13-May,165.25
13-Jun,147.53
13-Jul,196.38
13-Aug,111.38
13-Sep,179.04
13-Oct,187.2
13-Nov,223.53
13-Dec,214.45
14-Jan,201.8
14-Feb,185.29
14-Mar,197.72
14-Apr,188.13
14-May,134.26
14-Jun,206.59
14-Jul,148.44
14-Aug,140.54
14-Sep,171.64
14-Oct,156.45
14-Nov,181.4
14-Dec,187.01
15-Jan,205.22
15-Feb,161.57
15-Mar,166.36
15-Apr,170.27
15-May,153.96
15-Jun,147.07
