Postal District,P2
10-Jan,243.41
10-Feb,628.59
10-Mar,668.58
10-Apr,510.83
10-May,613.95
10-Jun,582.73
10-Jul,499.94
10-Aug,598.95
10-Sep,561.98
10-Oct,601.13
10-Nov,585.48
10-Dec,495.06
11-Jan,478.6
11-Feb,422.77
11-Mar,325.17
11-Apr,316.74
11-May,153.24
11-Jun,311.97
11-Jul,538.11
11-Aug,220.37
11-Sep,236.03
11-Oct,485.8
11-Nov,300.4
11-Dec,484.27
12-Jan,435.31
12-Feb,488.16
12-Mar,468.61
12-Apr,566.15
12-May,505.5
12-Jun,228.12
12-Jul,477.91
12-Aug,468.4
12-Sep,508.4
12-Oct,522.57
12-Nov,444.12
12-Dec,505.07
13-Jan,488.58
13-Feb,522.7
13-Mar,386.71
13-Apr,662.15
13-May,445.06
13-Jun,300.26
13-Jul,772.03
13-Aug,699.75
13-Sep,1132.36
13-Oct,1131.37
13-Nov,672.01
13-Dec,567.96
14-Jan,499.18
14-Feb,521.23
14-Mar,522.75
14-Apr,707.89
14-May,574.76
14-Jun,435.93
14-Jul,657
14-Aug,723.48
14-Sep,665.16
14-Oct,651.4
14-Nov,459.04
14-Dec,562.38
15-Jan,623.07
15-Feb,390.81
15-Mar,565.09
15-Apr,653.28
15-May,547
15-Jun,784.13
